Địa chỉ,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",,,5 phòng,50 m²,,5 m,86 triệu/m²
"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,52.8 m²,15.2 m,3.9 m,75 triệu/m²
"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,52 m²,12 m,4.2 m,"93,27 triệu/m²"
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,30 m²,,,75 triệu/m²
"Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,7.0,nhiều hơn 10 phòng,165 m²,,5 m,"103,03 triệu/m²"
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,2.0,3 phòng,70 m²,,5.3 m,"102,86 triệu/m²"
"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,34 m²,,,"82,35 triệu/m²"
"Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,32 m²,,7 m,"51,56 triệu/m²"
"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,6 phòng,65 m²,,4.5 m,"75,38 triệu/m²"
"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,45 m²,,4 m,"64,44 triệu/m²"
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội","Nhà mặt phố, mặt tiền",,,4 phòng,79 m²,,8 m,"112,66 triệu/m²"
"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,5 phòng,90 m²,18 m,5 m,"108,89 triệu/m²"
"Đường Đồng Me, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,5 phòng,73 m²,,5 m,"106,85 triệu/m²"
"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,6 phòng,52 m²,,,250 triệu/m²
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,8 phòng,40 m²,,,"107,5 triệu/m²"
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,45 m²,12 m,4.2 m,"133,33 triệu/m²"
"180/61/5, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,32 m²,6.6 m,4.5 m,"60,94 triệu/m²"
"Đường Núi Trúc, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,2 phòng,18 m²,,3.1 m,"69,44 triệu/m²"
"Đường Tô Hiệu, Phường Quang Trung, Quận Hà Đông, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,4 phòng,42 m²,,,"83,81 triệu/m²"
"Đường Ngọc Trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,3 phòng,42 m²,10 m,4.5 m,"58,33 triệu/m²"
"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,5 phòng,45 m²,,3 m,"95,56 triệu/m²"
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,2 phòng,42 m²,11 m,4 m,"29,76 triệu/m²"
"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,3 phòng,46 m²,9 m,5 m,"80,43 triệu/m²"
"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4 phòng,42 m²,,4.5 m,"361,9 triệu/m²"
"Đường Vĩnh Quỳnh, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,43 m²,11 m,4 m,50 triệu/m²
"Đội Cấn, Phường Cống Vị, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,25 m²,,4.3 m,96 triệu/m²
"Đường Phố Vọng, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,3 phòng,45 m²,,,"51,11 triệu/m²"
"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,2 phòng,35 m²,,4 m,"80,86 triệu/m²"
"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,38 m²,10 m,3 m,"68,42 triệu/m²"
"Ngách 6A, Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,35 m²,9 m,4 m,"55,71 triệu/m²"
"Đường Yên Vĩnh, Xã Kim Chung, Huyện Hoài Đức, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,49 m²,,4 m,"36,73 triệu/m²"
"4, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,33 m²,9 m,4 m,"80,3 triệu/m²"
"Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,38 m²,,,"73,68 triệu/m²"
"Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,32 m²,,4 m,"96,88 triệu/m²"
"Đường Tôn Thất Tùng, Phường Trung Tự, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,5 phòng,120 m²,,7 m,125 triệu/m²
"văn phu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Nhà biệt thự,Đang chờ sổ,3.0,5 phòng,200 m²,22 m,9 m,"47,25 triệu/m²"
"Đường Núi Trúc, Phường Trúc Bạch, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,2 phòng,18 m²,,,"69,44 triệu/m²"
"88, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,47 m²,,,"57,45 triệu/m²"
"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,8.0,7 phòng,55 m²,,,"309,09 triệu/m²"
"đức giang, Phường Đức Giang, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,36 m²,,,"61,67 triệu/m²"
"Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,50 m²,,5 m,130 triệu/m²
"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,51 m²,6.6 m,3.5 m,"62,75 triệu/m²"
"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Nhà phố liền kề,,,4 phòng,32 m²,,3 m,"56,25 triệu/m²"
"Đường Chùa Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,6.0,nhiều hơn 10 phòng,70 m²,17 m,4 m,"114,29 triệu/m²"
"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,42 m²,,,"105,95 triệu/m²"
"tả thanh oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,30 m²,10 m,3 m,"61,67 triệu/m²"
"Đường Xã Đàn 2, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,30 m²,,,50 triệu/m²
"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,40 m²,,,"98,75 triệu/m²"
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,36 m²,9 m,4 m,"59,72 triệu/m²"
"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,30 m²,,,"91,67 triệu/m²"
"Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,9 phòng,77 m²,17 m,4 m,"2,08 triệu/m²"
"Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,34 m²,,,"120,59 triệu/m²"
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đang chờ sổ,4.0,3 phòng,27 m²,,,"72,22 triệu/m²"
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,34 m²,8.5 m,4 m,"104,41 triệu/m²"
"Đường Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,40 m²,,,65 triệu/m²
"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,30 m²,9 m,3.4 m,"82,67 triệu/m²"
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,35 m²,,,"114,29 triệu/m²"
"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,2 phòng,18 m²,6 m,3.2 m,"105,56 triệu/m²"
"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,5 phòng,33 m²,11 m,3 m,"136,36 triệu/m²"
"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,2 phòng,60 m²,,,225 triệu/m²
"Lĩnh nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,30 m²,,,75 triệu/m²
"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,32 m²,8 m,4 m,"81,25 triệu/m²"
"Đường Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,40 m²,,,"77,5 triệu/m²"
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,32 m²,11 m,3.2 m,"89,06 triệu/m²"
"Xuân Đinh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,81 m²,22.5 m,3.6 m,"39,51 triệu/m²"
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,20 m²,6.5 m,3 m,"97,5 triệu/m²"
"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4 phòng,54 m²,,,"101,85 triệu/m²"
"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,60 m²,,,"109,17 triệu/m²"
"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,5 phòng,40 m²,,,"68,75 triệu/m²"
"1, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Nhà mặt phố, mặt tiền",,,3 phòng,45 m²,,,"133,33 triệu/m²"
"Nguyễn Thái Học, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,40 m²,,,"36,25 triệu/m²"
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đang chờ sổ,4.0,3 phòng,28 m²,,,70 triệu/m²
"Đường Đê La Thành, Phường Kim Liên, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,3 phòng,28 m²,7 m,3.9 m,100 triệu/m²
"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội","Nhà mặt phố, mặt tiền",,,3 phòng,40 m²,,,"136,25 triệu/m²"
"Đường Đức Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,5 phòng,42 m²,,3.25 m,"67,86 triệu/m²"
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,32 m²,,4 m,"84,38 triệu/m²"
"Đường Trung Phụng, Phường Trung Phụng, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,55 m²,,,"54,55 triệu/m²"
"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,38 m²,,4 m,"65,79 triệu/m²"
"Đường Đền Lừ 1, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,4 phòng,38 m²,9.5 m,4 m,"131,58 triệu/m²"
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,5 phòng,49 m²,20 m,53 m,"80,61 triệu/m²"
"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Nhà phố liền kề,Đã có sổ,5.0,4 phòng,113 m²,,8 m,247.787 đ/m²
"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,2 phòng,55 m²,9.2 m,6 m,60 triệu/m²
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3 phòng,30 m²,4 m,7.55 m,"118,33 triệu/m²"
"Văn Phú, Phường La Khê, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,2 phòng,37 m²,10 m,3.7 m,"53,51 triệu/m²"
"Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,76 m²,,,"61,18 triệu/m²"
"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,1.0,1 phòng,45 m²,10 m,4.5 m,"71,11 triệu/m²"
"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,62 m²,,,"125,81 triệu/m²"
"Đường Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,41 m²,,4.3 m,"207,32 triệu/m²"
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,46 m²,,,"81,52 triệu/m²"
"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,11 m²,3 m,4 m,"131,82 triệu/m²"
Đường Bằng B,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4 phòng,44 m²,,4 m,"89,77 triệu/m²"
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,3.0,3 phòng,21 m²,7 m,3 m,100 triệu/m²
"NHÂN MỸ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","Nhà mặt phố, mặt tiền",,5.0,5 phòng,51 m²,,,"76,47 triệu/m²"
"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,60 m²,,4.8 m,"276,67 triệu/m²"
"Đường Quốc lộ 32, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,2 phòng,33 m²,,,"46,61 triệu/m²"
"Đường Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,35 m²,,,"71,43 triệu/m²"
"tôn đức thắng, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,8 phòng,75 m²,20 m,6 m,"393,33 triệu/m²"
"Đường Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,2 phòng,55 m²,11 m,5 m,"118,18 triệu/m²"
"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,35 m²,9 m,4 m,"71,43 triệu/m²"
"Đường Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội","Nhà mặt phố, mặt tiền",,,4 phòng,36 m²,,,"116,67 triệu/m²"
"Đường Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,2 phòng,58 m²,,,"5,52 triệu/m²"
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,2 phòng,30 m²,9 m,3.5 m,"71,67 triệu/m²"
"Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,54 m²,,5 m,200 triệu/m²
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,40 m²,,,70 triệu/m²
"Đường Khâm Thiên||377, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,45 m²,,,"106,67 triệu/m²"
"Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,36 m²,,,"65,28 triệu/m²"
"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3 phòng,55 m²,,,"51,82 triệu/m²"
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,3.0,2 phòng,30 m²,9 m,3.2 m,60 triệu/m²
"Đường Thái Thịnh 1, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,10 phòng,120 m²,50 m,6 m,"246,67 triệu/m²"
"Đường Ngô Gia Tự||1279, Phường Đức Giang, Quận Long Biên, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,3.0,4 phòng,196 m²,,6 m,"80,61 triệu/m²"
"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,5 phòng,45 m²,,,"91,11 triệu/m²"
"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,37 m²,,4 m,"78,38 triệu/m²"
"Đường Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,45 m²,,6 m,"128,89 triệu/m²"
"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,21 m²,,,"85,71 triệu/m²"
"Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6 phòng,60 m²,,,125 triệu/m²
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,25 m²,7 m,3.6 m,96 triệu/m²
"Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,3 phòng,34 m²,,4.1 m,"63,24 triệu/m²"
"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",,,6 phòng,60 m²,,,"81,67 triệu/m²"
"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,48 m²,,,"62,5 triệu/m²"
"Đường Mai Động, Phường Mai Động, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,34 m²,,4 m,"120,59 triệu/m²"
"Đường Lê Duẩn, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,32 m²,,,"78,13 triệu/m²"
"Đường Thanh Nhàn, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,44 m²,,,"78,41 triệu/m²"
"99, Đường Nhân Trạch, Phường Phú Lương, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,44 m²,,,50 triệu/m²
"Đường Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,47 m²,,,"123,4 triệu/m²"
"Đường Ba La, Phường Phú La, Quận Hà Đông, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4 phòng,40 m²,10 m,4 m,50 triệu/m²
"Đường Hà Trì||1775, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,33 m²,9.5 m,3.5 m,"65,15 triệu/m²"
"Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,52 m²,,,"86,54 triệu/m²"
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,24 m²,,,"81,25 triệu/m²"
"Đường Nguyễn Lân, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,5 phòng,48 m²,,,"114,58 triệu/m²"
"Đường Phú Đô, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,33 m²,,,"87,88 triệu/m²"
"200, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đang chờ sổ,2.0,2 phòng,30 m²,7 m,4 m,"28,33 triệu/m²"
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,,2 phòng,36 m²,10 m,3 m,"138,89 triệu/m²"
"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,36 m²,,,"69,44 triệu/m²"
